"GEN","MGIDI","composite_observed"
"SP246",3.82760400992939,-0.411282849562035
"SP310",3.83844074935678,0.0691386501189976
"SP047",3.84117422001762,-0.49986741697676
"SP293",3.84965385741881,-0.134845180311635
"SP058",3.85715981631511,-0.178720144486634
"SP053",3.85850393409023,-0.312663052082264
"SP158",3.86283981197367,-0.765574169483904
"SP182",3.88957968861262,-0.313042977281524
"SP244",3.89993301335524,-1.19179246061409
"SP026",3.91070481837004,-0.0289047030367216
"SP245",3.91226193468406,0.118777782862055
"SP228",3.91471922185514,0.24645568445111
"SP267",3.92315727954484,0.027462302006518
"SP255",3.92444736263842,-0.217527765247182
"SP181",3.93777397020841,0.350680169069515
"SP199",3.95020589781515,0.190623344090733
"SP247",3.9573717750966,-0.465764512300041
"SP185",3.96870219324819,0.147115250774831
"SP021",3.97251427211738,0.207970267864289
"SP155",4.0114839200148,0.372423858007089
"SP112",4.01356255372549,-0.115407939883239
"SP151",4.03845052588409,0.0722618817149025
"SP019",4.04178932860457,-0.414235086468611
"SP236",4.05157803634248,-1.14178723177689
"SP010",4.06105290692938,-0.00359977894860848
"SP148",4.06993214382542,-0.26477694251002
"SP217",4.07514902612113,-0.169521913375329
"SP103",4.07573776927744,-0.29338289300084
"SP101",4.08219170837789,-0.241643233094354
"SP127",4.10817423280714,-0.0574517385814773
"SP274",4.10939771582775,-0.202937641606682
"SP302",4.12228587898651,0.112267958729093
"SP087",4.12523936308101,-0.679170177440413
"SP119",4.12539720625314,0.379579109281188
"SP279",4.13244168772991,-0.286628538921017
"SP223",4.13281515750617,-0.420837975665047
"SP123",4.14951225195958,-0.145687979596813
"SP164",4.15099760989649,0.396795268268141
"SP104",4.16500419362295,0.25371127473721
"SP206",4.16789278791755,-0.819186290302361
"SP173",4.16980397658322,-0.0736956592354458
"SP013",4.20452312306575,-0.319325133226649
"SP240",4.21490927133192,-0.560567187256219
"SP184",4.23650706237938,-0.0691584787737141
"SP156",4.29007714774453,-0.390647760473525
"SP215",4.29517840416012,-0.244820962317257
"SP202",4.29934525515494,-0.288801183704245
"SP168",4.31889261386224,-0.0487917845343736
"SP116",4.32232187831361,-0.268664460550553
"SP170",4.34330662166549,-0.863913389521699
"SP198",4.34382583337888,-0.29546312132446
"SP153",4.3703429224835,-0.439074277460286
"SP106",4.38386093107684,-0.871874579362869
"SP258",4.38512830845253,0.108575052591853
"SP110",4.4088637681601,0.262302799574054
"SP256",4.41969250622963,-0.719230003779346
"SP237",4.43694082130123,-0.524075189282891
"SP017",4.45127909651073,-0.233178606553289
"SP233",4.45315403948621,0.272706760339427
"SP113",4.46980116505847,-1.08794771306987
"SP263",4.49392591471781,-0.934313529434681
"SP242",4.50321365673445,-0.482748683049549
"SP295",4.51764255595083,-0.38688113067045
"SP278",4.52844963052037,-0.462256013022325
"SP133",4.53087021956117,-0.354813402933832
"SP111",4.56830061505853,0.0886613737400632
"SP195",4.56945543386099,-0.585009082295511
"SP226",4.57163468824134,0.8121782058808
"SP083",4.57848748699553,-0.725233826704059
"SP145",4.6247860147036,-0.775711984165681
"SP015",4.62509839277622,-0.227604929449439
"SP092",4.63988080799875,-0.398412214126797
"SP096",4.64171180637296,-0.385536379870543
"SP073",4.66510166736249,-0.289499622205563
"SP273",4.73933532745205,-0.773801573748496
"SP257",4.76227839934768,-0.820571739299607
"SP312",4.7841817749456,0.0287092391453343
"SP089",4.82019732639976,-0.356935510817853
"SP249",4.87665634922768,-0.159740807808852
"SP008",4.91569543700655,0.257594006279921
"SP072",4.92705777468546,-0.787616973755992
"SP276",4.9418746499191,-0.193789283358014
"SP131",4.9514728052676,-0.69478270128681
